loading_percent,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service,vm_pu,name_x,vn_kv_x,type_x,zone_x,in_service_x,name_y,vn_kv_y,type_y,zone_y,in_service_y,x,y,coords,geometry
5.662622276952654e-06,cable3338218,,648,1056,0.0127597632,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.967703824894041,cubicle40584,11.0,b,,True,cubicle40584,11.0,b,,True,152.911387,-31.4673594,,POINT (152.911387 -31.4673594)
5.543162215477812e-06,cable3341627,,330,886,0.0145897603,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9885588924557894,cubicle38771,11.0,b,,True,cubicle38771,11.0,b,,True,152.894282,-31.4633082,,POINT (152.894282 -31.4633082)
5.543161465170618e-06,cable3341628,,330,175,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9885588924557894,cubicle38771,11.0,b,,True,cubicle38771,11.0,b,,True,152.894282,-31.4633082,,POINT (152.894282 -31.4633082)
5.741096461185044e-06,cable1197746,,851,1091,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.95447725350212,node69935927,11.0,b,,True,node69935927,11.0,b,,True,152.921154,-31.4701097,,POINT (152.921154 -31.4701097)
0.00019519699976911636,cable1159159,,851,1022,0.0169461796,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.95447725350212,node69935927,11.0,b,,True,node69935927,11.0,b,,True,152.921154,-31.4701097,,POINT (152.921154 -31.4701097)
1.1482170279245676e-05,cable1207116,,851,487,0.0175780047,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.95447725350212,node69935927,11.0,b,,True,node69935927,11.0,b,,True,152.921154,-31.4701097,,POINT (152.921154 -31.4701097)
5.741087859896818e-06,cable3336359,,429,825,0.0134557891,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9544772325150106,cubicle34591,11.0,b,,True,cubicle34591,11.0,b,,True,152.9217,-31.4691409,,POINT (152.9217 -31.4691409)
5.741100502859287e-06,cable1155265,,429,112,0.0188405639,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9544772325150106,cubicle34591,11.0,b,,True,cubicle34591,11.0,b,,True,152.9217,-31.4691409,,POINT (152.9217 -31.4691409)
5.741096461185043e-06,cable3336362,,429,908,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9544772325150106,cubicle34591,11.0,b,,True,cubicle34591,11.0,b,,True,152.9217,-31.4691409,,POINT (152.9217 -31.4691409)
5.0225559687684336e-05,cable2972155,,348,690,0.0123183185,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9819235073383806,node79636605,11.0,b,,True,node79636605,11.0,b,,True,152.921534,-31.4683737,,POINT (152.921534 -31.4683737)
