loading_percent,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,type
5.759187569509303e-06,cable2767002,,333,242,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.662625604244004e-06,cable3338225,,101,1188,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
0.0,geo_schematic_cable380326,,978,474,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
1.1325238293900157e-05,cable1177883,,731,601,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
1.1518388127661802e-05,cable2786239,,147,1108,0.06321343310000001,0.001,0.001,0.001,0.0,1000.0,1.0,
3.104189274673217e-11,cable2245498,,524,334,0.186910929,0.258,0.3596,0.001,0.0,1000.0,1.0,
5.580612336521658e-06,cable3338287,,420,1196,0.0272990985,0.001,0.001,0.001,0.0,1000.0,1.0,
0.00017277557975314687,cable1132929,,1046,349,0.0276577238,0.001,0.001,0.001,0.0,1000.0,1.0,
0.0,geo_schematic_cable235971,,356,969,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
3.3483742364664896e-05,cable1139852,,794,504,0.0617390438,0.001,0.001,0.001,0.0,1000.0,1.0,
5.741090139704921e-06,cable3269446,,224,816,0.0112929934,0.001,0.001,0.001,0.0,1000.0,1.0,
0.0,cable1134376,,985,126,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.665245755820081e-06,cable3338686,,121,33,0.011748611199999998,0.001,0.001,0.001,0.0,1000.0,1.0,
1.9552703242058977e-11,busbar254543,,660,1081,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.75919586070013e-06,cable3255756,,20,1189,0.0116869739,0.001,0.001,0.001,0.0,1000.0,1.0,
0.0,cable4228694,,37,575,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
0.0,busbar87058,,995,1259,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759189768629089e-06,cable3338930,,293,134,0.0310335209,0.001,0.001,0.001,0.0,1000.0,1.0,
,cable1508082,,54,840,0.060065596900000004,0.001,0.001,0.001,0.0,1000.0,1.0,
0.0001727755741497919,cable1215695,,117,1046,0.0201675785,0.001,0.001,0.001,0.0,1000.0,1.0,
7.36482895415736e-05,cable2781901,,389,324,0.0380924534,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759183187855799e-06,cable3338940,,219,1147,0.0116818057,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759176851435623e-06,cable3338861,,40,1100,0.011016093,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759183187855799e-06,cable3338202,,180,1021,0.011487974599999999,0.001,0.001,0.001,0.0,1000.0,1.0,
0.00048107497764103145,geo_schematic_cable1841,,1227,110,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
1.1518378239630328e-05,cable1175603,,349,906,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.66524575582008e-06,cable3338485,,104,806,0.0119536448,0.001,0.001,0.001,0.0,1000.0,1.0,
1.696123467686402e-11,cable2114783,,1052,698,0.0221164775,0.1274,0.093,0.001,0.0,1000.0,1.0,
7.033391135073383e-11,cable1508108,,592,997,0.0603883345,0.001,0.001,0.001,0.0,1000.0,1.0,
5.580614654645639e-06,cable1151657,,397,807,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.58060846937725e-06,cable3338283,,198,320,0.012246127899999999,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759193096962883e-06,cable3338996,,1010,199,0.011536192800000001,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759185951606101e-06,cable3338868,,692,165,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.491376822815413e-06,cable3338482,,614,1122,0.0139425986,0.001,0.001,0.001,0.0,1000.0,1.0,
5.7591917993188565e-06,cable3338089,,576,1194,0.013828305,0.001,0.001,0.001,0.0,1000.0,1.0,
4.9888419008207424e-05,cable2698390,,289,941,0.0432824691,0.001,0.001,0.001,0.0,1000.0,1.0,
5.240362753361062e-07,busbar355183,,980,826,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
4.532196773457806e-05,cable1181546,,64,913,0.0533463545,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759183187855799e-06,cable1131088,,684,293,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
0.001912438373961832,cable2865574,,452,828,0.0508651472,0.1443,0.3363,0.001,0.0,1000.0,1.0,
0.0004478048956496875,geo_schematic_cable22429,,517,971,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.491370548948015e-06,cable1194553,,60,483,0.044417082299999994,0.001,0.001,0.001,0.0,1000.0,1.0,
1.1161238584491306e-05,cable2970009,,175,381,0.0439152806,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759191799318857e-06,cable3338140,,576,10,0.0156841518,0.001,0.001,0.001,0.0,1000.0,1.0,
4.018762675477063e-05,cable1111921,,127,438,0.0462483139,0.001,0.001,0.001,0.0,1000.0,1.0,
5.6626193442344685e-06,cable3339129,,396,1048,0.0143968464,0.001,0.001,0.001,0.0,1000.0,1.0,
5.022557206902564e-05,geo_schematic_cable196990,,796,271,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
1.1482181005393192e-05,cable1115321,,109,1039,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
0.0,cable3256245,,238,66,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
0.0,busbar254548,,471,486,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.665252018250194e-06,cable3338481,,302,951,0.0126694396,0.001,0.001,0.001,0.0,1000.0,1.0,
