,vm_pu,name,vn_kv,type,x,y,coords
239,0.9677038410282252,node69877027,11.0,b,152.911959,-31.4686448,
240,0.9514777574382957,cn-cable3338142-t2,11.0,b,152.915583,-31.4682161,
241,0.9514777794843062,node57578105,11.0,b,152.914657,-31.466722,
242,0.9514777882824543,node67193147,11.0,b,152.91442,-31.4683888,
243,0.951477755786518,cubicle44801,11.0,b,152.916619,-31.4686239,
244,0.9983057476766211,node74092492,11.0,b,152.897784,-31.4666787,
245,0.9544772837203359,cubicle48240,11.0,b,152.921791,-31.4713831,
246,0.9819235016350957,cn-cable3304342-t1,11.0,b,152.920857,-31.4685405,
247,0.9984987017760872,node23107373,11.0,b,152.910035,-31.4676441,
249,0.9514777482839492,cubicle34603,11.0,b,152.917407,-31.4687065,
250,0.967254381904409,cubicle43221,11.0,b,152.905428,-31.4659877,
251,0.951477768325729,cubicle39022,11.0,b,152.914966,-31.4656848,
252,0.9677038866492207,cn-geo_schematic_cable27949-t1,11.0,b,152.912399,-31.4676613,
253,0.9514778234198183,node101119362,11.0,b,152.915548,-31.4676414,
254,0.9514777905854557,node102518697,11.0,b,152.912905,-31.4669828,
255,0.9514777572037647,cn-cable3338141-t2,11.0,b,152.915381,-31.4681812,
256,0.9677038393450357,node23529726,11.0,b,152.911719,-31.4654863,
257,0.9514777836594842,cn-cable3339030-t2,11.0,b,152.917872,-31.46807,
258,0.9514777435704619,cubicle43565,11.0,b,152.913762,-31.466483,
259,0.9984710116554972,node67195950,11.0,b,152.907851,-31.4664014,
260,0.9514777434258256,cn-cable3338905-t2,11.0,b,152.913847,-31.4665717,
261,0.951477712051729,cn-cable3338863-t2,11.0,b,152.912182,-31.4664961,
262,0.9672544425776235,cn-geo_schematic_cable1690-t1,11.0,b,152.905991,-31.4653382,
263,0.9514777270601981,node71578394,11.0,b,152.913199,-31.4663653,
264,0.9672543913318095,cubicle50237,11.0,b,152.906719,-31.4648768,
266,0.9998123761537521,node23148406,11.0,b,152.895642,-31.4621709,
267,0.9672543783230169,cubicle37764,11.0,b,152.907354,-31.465532,
269,0.9672543932786919,cubicle47655,11.0,b,152.905658,-31.4651922,
270,0.9514777679599018,cn-cable3338927-t2,11.0,b,152.91496,-31.4655674,
271,0.9819234922927709,cubicle111148,11.0,b,152.921517,-31.4681497,
272,0.9514777926906746,node100121528,11.0,b,152.917031,-31.467113,
273,0.9544772468444238,node69935461,11.0,b,152.920673,-31.4721417,
274,0.9677038534480769,cn-cable3339126-t2,11.0,b,152.912409,-31.4676189,
275,0.9544772318026782,cubicle50506,11.0,b,152.921372,-31.4721269,
276,0.9514777576544761,cubicle45831,11.0,b,152.915759,-31.4663986,
277,0.9998604019429103,cn-cable2122108-t2,11.0,b,152.89587,-31.4616346,
278,0.967254380163056,cn-cable3338466-t2,11.0,b,152.905027,-31.4657604,
279,0.9980275926366866,cn-busbar254942-t2,11.0,b,152.91903,-31.4706068,
280,0.9984462968209178,node24046336,11.0,b,152.905876,-31.4653192,
281,0.981923497593033,node36726535,11.0,b,152.921435,-31.4683603,
282,0.967703855599016,node65782890,11.0,b,152.913166,-31.4677965,
283,0.9819234895181653,cn-cable3713957-t2,11.0,b,152.921929,-31.4678687,
284,0.9514777877082827,node67193128,11.0,b,152.914534,-31.468461,
285,0.951477730872699,cubicle33464,11.0,b,152.913345,-31.4661849,
286,0.9989276280143659,node84230737,11.0,b,152.903841,-31.4679035,
287,0.9980275926318001,node23378215,11.0,b,152.920852,-31.4685328,
288,0.9677038402154413,cn-cable3338856-t2,11.0,b,152.911729,-31.4659927,
289,0.98855891982518,node67830826,11.0,b,152.894118,-31.4625419,
290,0.9514778518527576,cn-simulated84625474_202755-t1,11.0,b,152.915972,-31.4676748,
291,0.9677038301352373,cn-cable3338220-t2,11.0,b,152.911045,-31.4672667,
292,0.9677038701067081,node59740730,11.0,b,152.912386,-31.4676305,
293,0.9514777684500505,cubicle37885,11.0,b,152.915192,-31.4656172,
294,0.9514777662261387,cn-cable3339044-t2,11.0,b,152.915666,-31.4655364,
295,0.9984841049270462,node161553353,11.0,b,152.909593,-31.4664215,
296,0.9514777558258423,cn-cable3338957-t2,11.0,b,152.915851,-31.4660347,
297,0.9672543781952517,cn-cable3338748-t2,11.0,b,152.907438,-31.465606,
298,0.9514777742046512,node71578873,11.0,b,152.91495,-31.4660335,
299,0.9672544054785328,node57577377,11.0,b,152.906024,-31.4652982,
300,0.9672543983697273,cubicle37426,11.0,b,152.905829,-31.4652718,
301,0.9514777818555665,node151251899,11.0,b,152.914561,-31.4667554,
302,0.9672543812766639,cubicle35158,11.0,b,152.904838,-31.4651638,
303,0.9514777976189855,node71578846,11.0,b,152.915095,-31.4673387,
304,0.9995537610230466,node23398575,11.0,b,152.896801,-31.4645406,
